"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
3342,"COL0050534","ESTILOS PEDAGOGICOS",2003,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN; FUNDACION UNIVERSITARIA MONSERRATE",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3345,"COL0008755","GRUPO DE INVESTIGACION EN GASTROENTEROLOGIA",1992,1,1,"Bogot ",11,"Distrito Capital","FUNDACION CARDIOINFANTIL INSTITUTO CARDIOLOGIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3346,"COL0011231","GRUPO DE INVESTIGACION EN HEMODINAMIA Y FUNCION VASCULAR",1996,1,1,"Bogot ",11,"Distrito Capital","FUNDACION CARDIOINFANTIL INSTITUTO CARDIOLOGIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3347,"COL0050599","QUIRON",2004,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3350,"COL0050614","GRUPO DE INVESTIGACION SOBRE ESPACIO URBANO Y TERRITORIAL; GRUPO EUT.",2005,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6D","ARTE",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3353,"COL0050641","HISTORIA; TERRITORIO Y POBLAMIENTO EN COLOMBIA",2001,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6C","OTRAS HISTORIAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3354,"COL0050659","INVESTIGACION FUNDACION OFTALMOLOGICA NACIONAL",1996,1,1,"Bogot ",11,"Distrito Capital","FUNDACION OFTALMOLOGICA NACIONAL",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3355,"COL0050669","CIENCIAS VETERINARIAS Y SEGURIDAD ALIMENTARIA",2000,1,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3356,"COL0008737","GRUPO DE INVESTIGACION EN CARDIOLOGIA",1996,1,1,"Bogot ",11,"Distrito Capital","FUNDACION CARDIOINFANTIL INSTITUTO CARDIOLOGIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3360,"COL0010083","GRUPO DE INVESTIGACION EN PEDIATRIA",1999,1,1,"Bogot ",11,"Distrito Capital","FUNDACION CARDIOINFANTIL INSTITUTO CARDIOLOGIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3361,"COL0011213","GRUPO DE INVESTIGACION EN HEMOSUSTITUTOS",1995,1,1,"Bogot ",11,"Distrito Capital","FUNDACION CARDIOINFANTIL INSTITUTO CARDIOLOGIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3362,"COL0050721","LA QUIMICA DE LA INTERFASE INORGANICA-ORGANICA (QUINORG)",2005,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
3364,"COL0050749","GRUPO DE INVESTIGACION EN INFORMACION Y GESTION",2005,7,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD EAFIT",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3366,"COL0013826","OCEANOGRAFIA OPERACIONAL",1995,1,1,"Cartagena",13,"Bolivar","CENTRO DE INVESTIGACIONES OCEANOGRAFICAS E HIDROGRAFICAS CIOH",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",3,"CIENCIA TECNOLOGIA E INNOVACION DEL MAR Y DE LOS RECURSOS HIDROBIOLOGICOS"
3367,"COL0012776","INVESTIGACION EN PALMA DE ACEITE",1991,1,1,"Bogot ",11,"Distrito Capital","CORPORACION CENTRO DE INVESTIGACIONES EN PALMA DE ACEITE CENIPALMA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3369,"COL0051086","GRUPO ETNOBOTANICO LATINOAMERICANO GELA COLOMBIA",1986,7,1,"Popayan",19,"Cauca","UNIVERSIDAD DEL CAUCA UNICAUCA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
3370,"COL0010299","GRUPO DE INVESTIGACION EN SISTEMA NERVIOSO AUTONOMO",1996,1,276,"Floridablanca",68,"Santander","FUNDACION CARDIOVASCULAR DE COLOMBIA FCV",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3374,"COL0050819","LOS ESTUDIOS CIENCIA-TECNOLOGIA -SOCIEDAD Y LA RESPONSABILIDAD SOCIAL PROFESIONAL",2000,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA; UNIVERSIDAD PEDAGOGICA NACIONAL UPN",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3375,"COL0011179","GRUPO DE ESTUDIOS CLINICOS Y EPIDEMIOLOGICOS DE LA FCV",2000,12,1,"Bucaramanga",68,"Santander","FUNDACION CARDIOVASCULAR DE COLOMBIA FCV",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3376,"COL0000621","ARQUEOLOGIA Y PATRIMONIO",1983,6,1,"Bogot ",11,"Distrito Capital","INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA ICANH",6,"HUMANIDADES","6A","HISTORIA Y ARQUEOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3377,"COL0051469","GRUPO DE INVESTIGACION AUDIOVISUAL -INTERDIS-",2000,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",0,"NO APLICA"
3382,"COL0015482","RAICES DEL FUTURO",1998,12,1,"Bogot ",11,"Distrito Capital","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3386,"COL0051209","ACTUALIDAD CONTABLE",2004,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD AUTONOMA DE COLOMBIA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3391,"COL0050937","GRUPO DE INVESTIGACION EN RIESGOS AMBIENTALES GIRA",2002,1,1,"Popayan",19,"Cauca","UNIVERSIDAD DEL CAUCA UNICAUCA",5,"CIENCIAS SOCIALES","5G","GEOGRAFIA SOCIAL Y ECONOMICA",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3393,"COL0050964","GRUPO DE ESTUDIOS DE CONTADURIA PUBLICA Y ADMINISTRACION - GECOA",2003,8,1,"Bucaramanga",68,"Santander","CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3394,"COL0051264","ELECTRONICA; TELECOMUNICACIONES E INFORMATICA CON OPORTUNIDAD Y SERVICIO ETICOS",2002,1,1,"Quibd¢",27,"Choco","UNIVERSIDAD TECNOLOGICA DEL CHOCO - DIEGO LUIS CORDOBA; UNIVERSIDAD LIBRE DE COLOMBIA CALI",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
3396,"COL0007499","GRUPO INTERDISCIPLINARIO DE INVESTIGACION EN FRUTICULTURA TROPICAL",2001,1,268,"Espinal",73,"Tolima","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA; UNIVERSIDAD DEL TOLIMA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3397,"COL0050991","BIODIVERSIDAD Y ETNODESARROLLO EN EL PACIFICO COLOMBIANO",2003,3,1,"Quibd¢",27,"Choco","INSTITUTO DE INVESTIGACIONES AMBIENTALES DEL PACIFICO; INSTITUTO DE INVESTIGACIONES AMBIENTALES DEL PACIFICO JHON VON NEUMANN",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3398,"COL0007702","GRUPO DE ANALISIS ESPACIO-TEMPORAL Y MANEJO DE FENOMENOS FITOSANITARIOS",2001,1,473,"Mosquera",25,"Cundinamarca","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3399,"COL0002849","CONTROL BIOLOGICO DE PLAGAS AGRICOLAS",1994,1,473,"Mosquera",25,"Cundinamarca","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",1,"BIOTECNOLOGIA"
3400,"COL0010495","GRUPO DE INVESTIGACION EN TECNOLOGIA DE MECANIZACION AGRICOLA Y PROCESOS AGROIDUSTRIALES",2002,1,473,"Mosquera",25,"Cundinamarca","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3402,"COL0014082","MICROBIOLOGIA Y NUTRICION ANIMAL DEL TROPICO",1996,1,473,"Mosquera",25,"Cundinamarca","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3404,"COL0051077","GRUPO DE INVESTIGACION EN ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES USTAGRI",2005,8,1,"Bucaramanga",68,"Santander","UNIVERSIDAD SANTO TOMAS DE AQUINO SEDE BUCARAMANGA USTABUC",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3406,"COL0005959","GRUPO DE INVESTIGACION E INNOVACION EN SALUD ANIMAL",1999,1,1,"Bogot ",11,"Distrito Capital","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3408,"COL0002288","CIMPA ESTACION EXPERIMENTAL",1985,11,77,"Barbosa",68,"Santander","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3409,"COL0020802","ESTUDIOS SOCIOECONOMICOS-CORPOICA",1998,8,473,"Mosquera",25,"Cundinamarca","CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA; ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO ECI",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3412,"COL0009064","FUNDACION CANGURO",1989,9,1,"Bogot ",11,"Distrito Capital","FUNDACION CANGURO",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3414,"COL0009055","GRUPO DE INVESTIGACION APLICADA EN POLIMEROS",1993,2,1,"Medell¡n",5,"Antioquia","INSTITUTO DE CAPACITACION E INVESTIGACION DEL PLASTICO Y DEL CAUCHO ICIPC",2,"INGENIERIA Y TECNOLOGIA","2C","INGENIERIA MECANICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3415,"COL0001709","CRECE",1986,8,1,"Manizales",17,"Caldas","CENTRO DE ESTUDIOS REGIONALES CAFETEROS Y EMPRESARIALES CRECE",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3416,"COL0051489","CENTRO DE INVESTIGACIONES EN SALUD CISA",2003,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD COOPERATIVA DE COLOMBIA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3417,"COL0051237","DIDAKTIKOS. GRUPO DE INVESTIGACION EN LINGšISTICA APLICADA A LA ENSENANZA DEL INGLES",2001,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD LIBRE DE COLOMBIA BOGOTA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3421,"COL0016327","G3PYMES: GRUPO DE GERENCIA EN GRANDES; PEQUENAS Y MEDIANAS EMPRESAS",1996,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EAN",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3422,"COL0051282","INVESTIGACION EN OPTOMETRIA",2004,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3423,"COL0051291","GESTION INTEGRADA DE RECURSOS HIDRICOS",2003,6,1,"Cali",76,"Valle","UNIVERSIDAD DEL VALLE - UNIVALLE",2,"INGENIERIA Y TECNOLOGIA","2G","INGENIERIA AMBIENTAL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3424,"COL0011599","ENTREPRENEURSHIP GROUP",1998,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EAN",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3427,"COL0016944","VIA L-ARGININA OXIDO NITRICO ( VILANO)",1999,8,1,"Bucaramanga",68,"Santander","FUNDACION CARDIOVASCULAR DE COLOMBIA FCV",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3428,"COL0008629","GRUPO DE INVESTIGACION EN BIOLOGIA DEL CANCER",1983,1,1,"Bogot ",11,"Distrito Capital","INSTITUTO NACIONAL DE CANCEROLOGIA INC",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3429,"COL0051658","CONVIVENCIA CIUDADANA; SIMBIOSIS HOMBRE-NATURALEZA",1996,8,1,"Villavicencio",50,"Meta","UNIVERSIDAD DE LOS LLANOS UNILLANOS",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3430,"COL0001413","CIDEIM",1990,4,1,"Cali",76,"Valle","CENTRO INTERNACIONAL DE ENTRENAMIENTO E INVESTIGACIONES MEDICAS CIDEIM",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3431,"COL0051451","GRUPO DE INVESTIGACION EN VALORACION Y APROVECHAMIENTO DE LA BIODIVERSIDAD",2000,1,1,"Quibd¢",27,"Choco","UNIVERSIDAD TECNOLOGICA DEL CHOCO - DIEGO LUIS CORDOBA",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3432,"COL0015123","CIUDADANIAS CONFLICTO Y POLITICAS SOCIALES",1989,11,1,"Medell¡n",5,"Antioquia","CORPORACION REGION",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3436,"COL0013094","LABORATORIO DE GENETICA FORENSE",1987,1,1,"Bogot ",11,"Distrito Capital","DIRECCION NACIONAL DE ESCUELAS POLICIA NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",1,"BIOTECNOLOGIA"
3438,"COL0051504","ALIMENTACION Y NUTRICION HUMANA",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3439,"COL0006679","CORPORACION PARA  LA INVESTIGACION TECNOLOGICA Y CIENTIFICA",2000,1,1,"Valledupar",20,"Cesar","UNIVERSIDAD DE SANTANDER",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3441,"COL0051498","CRECIMIENTO Y DESARROLLO (CYDUSTA)",2002,2,276,"Floridablanca",68,"Santander","UNIVERSIDAD SANTO TOMAS DE AQUINO SEDE BUCARAMANGA USTABUC",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3446,"COL0007749","GRUPO DE AUTOMATIZACION INDUSTRIAL Y CONTROL - GAICO",1998,2,1,"Cartagena",13,"Bolivar","UNIVERSIDAD TECNOLOGICA DE BOLIVAR",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3447,"COL0003632","GRUPO DE INVESTIGACION EN MATERIALES Y ESTRUCTURAS CONTINUAS -GIMAT-",1998,1,1,"Cartagena",13,"Bolivar","UNIVERSIDAD TECNOLOGICA DE BOLIVAR",2,"INGENIERIA Y TECNOLOGIA","2C","INGENIERIA MECANICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3448,"COL0006099","GRUPO DE INVESTIGACION EN PRODUCTIVIDAD Y CALIDAD ( GIPC )",2001,6,1,"Cartagena",13,"Bolivar","UNIVERSIDAD TECNOLOGICA DE BOLIVAR",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3452,"COL0051639","DISENO Y COMPLEJIDAD",2002,2,1,"Manizales",17,"Caldas","UNIVERSIDAD AUTONOMA DE MANIZALES",6,"HUMANIDADES","6D","ARTE",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3453,"COL0017084","GRUPO DE INVESTIGACION: PERSONAS PAGOS Y DESEMPENO-GIPPD",2001,3,1,"Cartagena",13,"Bolivar","UNIVERSIDAD DE CARTAGENA UNICARTAGENA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3455,"COL0011249","INSTITUTO DE ESTUDIOS PARA EL DESARROLLO",2000,2,1,"Cartagena",13,"Bolivar","UNIVERSIDAD TECNOLOGICA DE BOLIVAR",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3457,"COL0008989","GRUPO DE INVESTIGACIONES EN SISTEMAS AMBIENTALES Y MATERIALES (GISAM)",2000,2,1,"Cartagena",13,"Bolivar","UNIVERSIDAD TECNOLOGICA DE BOLIVAR",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3461,"COL0012319","INFECCION QUIRURGICA",1991,1,1,"Bogot ",11,"Distrito Capital","FUNDACION SANTA FE DE BOGOTA FSFB",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3466,"COL0020079","GRUPO DE INVESTIGACION EN BIODIVERSIDAD TROPICAL",2002,2,1,"Sincelejo",70,"Sucre","UNIVERSIDAD DE SUCRE",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3468,"COL0012631","INVESTIGACIONES BIOMEDICAS",2001,1,1,"Sincelejo",70,"Sucre","UNIVERSIDAD DE SUCRE",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3470,"COL0051809","UNIDAD DE ARTE Y EDUCACION",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3471,"COL0051818","BIOTECNOLOGIA RUMINAL Y SILVOPASTOREO BIORUM",1994,3,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3476,"COL0052359","GRUPO DE INVESTIGACION Y DESARROLLO EN INFRAESTRUCTURA VIAL - GRINFRAVIAL",2002,1,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3477,"COL0051863","GESTION ECOLOGICA Y AGROINDUSTRIAL GEA",2004,3,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD LIBRE DE COLOMBIA - BARRANQUILLA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
3478,"COL0051872","ECONOMIA SOCIAL Y DESARROLLO EMPRESARIAL",2005,1,1,"Bucaramanga",68,"Santander","UNIVERSIDAD SANTO TOMAS DE AQUINO SEDE BUCARAMANGA USTABUC",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3479,"COL0006939","INVESTIGACION EN GESTION AMBIENTAL - IGEA",1995,6,266,"Envigado",5,"Antioquia","ESCUELA DE INGENIERIA DE ANTIOQUIA EIA",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3484,"COL0051934","GRUPO DE ESTUDIOS EN CIENCIA POLITICA",2003,2,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",9,"POR DEFINIR","9Z","POR DEFINIR",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3485,"COL0051943","GEOLOGIA",2001,3,1,"Manizales",17,"Caldas","UNIVERSIDAD DE CALDAS UNICALDAS",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
3487,"COL0051961","GRUPO DE INVESTIGACIONES EN SOCIEDAD Y TERRITORIO",2004,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5G","GEOGRAFIA SOCIAL Y ECONOMICA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3488,"COL0007819","GRUPO DE BIOTECNOLOGIA EN CADENAS PRODUCTIVAS DE FRUTALES PROMISORIOS",1996,1,1,"Cali",76,"Valle","CORPORACION PARA EL DESARROLLO DE LA BIOTECNOLOGIA BIOTEC",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",1,"BIOTECNOLOGIA"
3489,"COL0007364","GRUPO DE INVESTIGACION DEL CLUSTER BIOINDUSTRIAL DEL OCCIDENTE COLOMBIANO (CBOC)",2000,1,1,"Cali",76,"Valle","CORPORACION PARA EL DESARROLLO DE LA BIOTECNOLOGIA BIOTEC",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
