"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
8061,"COL0008459","GRUPO DE FISICA TEORICA DE LA MATERIA CONDENSADA",1987,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
8062,"COL0006741","GENETICA EVOLUTIVA; FILOGEOGRAFIA Y ECOLOGIA DE BIODIVERSIDAD NEOTROPICAL",1996,12,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DEL ROSARIO",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
8063,"COL0002395","CIMPAT. CENTRO DE INVESTIGACIONES EN MICROBIOLOGIA Y PARASITOLOGIA TROPICAL",1977,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
8065,"COL0013521","MACROECONOMIA",1996,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8066,"COL0008299","GRUPO DE ESTUDIOS SOBRE DESARROLLO ECONOMICO",1980,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8067,"COL0008236","GRUPO DE ESTUDIOS CULTURALES AFROCOLOMBIANOS COLONIALES Y CONTEMPORANEOS",1995,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8071,"COL0011099","GRUPO DE TRABAJO ACADEMICO EN  VIAS; TRANSPORTE Y GEOTECNIA",1998,2,1,"Manizales",17,"Caldas","UNIVERSIDAD NACIONAL DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
8073,"COL0006278","GRUPO DE ENTOMOLOGIA Y ENFERMEDADES TRANSMITIDAS POR VECTORES",1992,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LA SALLE UNISALLE",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",5,"CIENCIAS BASICAS"
8074,"COL0015553","REDES DE COMPUTADORES E INGENIERIA DE SOFTWARE-GRECIS",1997,10,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
8075,"COL0011329","GRUPO DE INVESTIGACION EN INMUNOLOGIA Y BIOLOGIA MOLECULAR",1990,9,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
